mode,seed_index,threshold,k,precision_at_k,recall_at_k,f1_score,ndcg_at_k
lexical,460,2,20,0.7,0.021638330757341576,0.041979010494752625,0.7200468276524259
lexical,475,2,5,1.0,0.009191176470588236,0.01821493624772313,1.0
lexical,475,2,10,1.0,0.01838235294117647,0.03610108303249098,1.0
lexical,475,2,20,0.95,0.034926470588235295,0.0673758865248227,0.9644899900915856
lexical,730,2,5,1.0,0.007680491551459293,0.015243902439024392,1.0
lexical,730,2,10,1.0,0.015360983102918587,0.0302571860816944,1.0
lexical,730,2,20,1.0,0.030721966205837174,0.05961251862891207,1.0
semantic,375,1,5,1.0,0.005611672278338945,0.011160714285714284,1.0
semantic,375,1,10,1.0,0.01122334455667789,0.022197558268590455,1.0
semantic,375,1,20,1.0,0.02244668911335578,0.043907793633369926,1.0
semantic,42,1,5,1.0,0.005611672278338945,0.011160714285714284,1.0
semantic,42,1,10,1.0,0.01122334455667789,0.022197558268590455,1.0
semantic,42,1,20,1.0,0.02244668911335578,0.043907793633369926,1.0
semantic,163,1,5,1.0,0.005611672278338945,0.011160714285714284,1.0
semantic,163,1,10,1.0,0.01122334455667789,0.022197558268590455,1.0
semantic,163,1,20,1.0,0.02244668911335578,0.043907793633369926,1.0
semantic,600,1,5,1.0,0.005611672278338945,0.011160714285714284,1.0
semantic,600,1,10,1.0,0.01122334455667789,0.022197558268590455,1.0
semantic,600,1,20,1.0,0.02244668911335578,0.043907793633369926,1.0
semantic,264,1,5,1.0,0.005611672278338945,0.011160714285714284,1.0
semantic,264,1,10,1.0,0.01122334455667789,0.022197558268590455,1.0
semantic,264,1,20,1.0,0.02244668911335578,0.043907793633369926,1.0
semantic,0,1,5,1.0,0.005611672278338945,0.011160714285714284,1.0
semantic,0,1,10,1.0,0.01122334455667789,0.022197558268590455,1.0
semantic,0,1,20,1.0,0.02244668911335578,0.043907793633369926,1.0
semantic,463,1,5,1.0,0.005611672278338945,0.011160714285714284,1.0
semantic,463,1,10,1.0,0.01122334455667789,0.022197558268590455,1.0
semantic,463,1,20,1.0,0.02244668911335578,0.043907793633369926,1.0
semantic,731,1,5,1.0,0.005611672278338945,0.011160714285714284,1.0
semantic,731,1,10,1.0,0.01122334455667789,0.022197558268590455,1.0
semantic,731,1,20,1.0,0.02244668911335578,0.043907793633369926,1.0
semantic,51,1,5,1.0,0.005611672278338945,0.011160714285714284,1.0
semantic,51,1,10,1.0,0.01122334455667789,0.022197558268590455,1.0
semantic,51,1,20,1.0,0.02244668911335578,0.043907793633369926,1.0
semantic,572,1,5,1.0,0.005611672278338945,0.011160714285714284,1.0
semantic,572,1,10,1.0,0.01122334455667789,0.022197558268590455,1.0
semantic,572,1,20,1.0,0.02244668911335578,0.043907793633369926,1.0
semantic,354,1,5,1.0,0.005611672278338945,0.011160714285714284,1.0
semantic,354,1,10,1.0,0.01122334455667789,0.022197558268590455,1.0
semantic,354,1,20,1.0,0.02244668911335578,0.043907793633369926,1.0
semantic,659,1,5,1.0,0.005611672278338945,0.011160714285714284,1.0
semantic,659,1,10,1.0,0.01122334455667789,0.022197558268590455,1.0
semantic,659,1,20,1.0,0.02244668911335578,0.043907793633369926,1.0
semantic,206,1,5,1.0,0.005611672278338945,0.011160714285714284,1.0
semantic,206,1,10,1.0,0.01122334455667789,0.022197558268590455,1.0
semantic,206,1,20,1.0,0.02244668911335578,0.043907793633369926,1.0
semantic,238,1,5,1.0,0.005611672278338945,0.011160714285714284,1.0
semantic,238,1,10,1.0,0.01122334455667789,0.022197558268590455,1.0
semantic,238,1,20,1.0,0.02244668911335578,0.043907793633369926,1.0
semantic,854,1,5,1.0,0.005611672278338945,0.011160714285714284,1.0
semantic,854,1,10,1.0,0.01122334455667789,0.022197558268590455,1.0
semantic,854,1,20,1.0,0.02244668911335578,0.043907793633369926,1.0
semantic,824,1,5,1.0,0.005611672278338945,0.011160714285714284,1.0
semantic,824,1,10,1.0,0.01122334455667789,0.022197558268590455,1.0
semantic,824,1,20,1.0,0.02244668911335578,0.043907793633369926,1.0
semantic,236,1,5,1.0,0.005611672278338945,0.011160714285714284,1.0
semantic,236,1,10,1.0,0.01122334455667789,0.022197558268590455,1.0
semantic,236,1,20,1.0,0.02244668911335578,0.043907793633369926,1.0
semantic,186,1,5,1.0,0.005611672278338945,0.011160714285714284,1.0
semantic,186,1,10,1.0,0.01122334455667789,0.022197558268590455,1.0
semantic,186,1,20,1.0,0.02244668911335578,0.043907793633369926,1.0
semantic,681,1,5,1.0,0.005611672278338945,0.011160714285714284,1.0
semantic,681,1,10,1.0,0.01122334455667789,0.022197558268590455,1.0
semantic,681,1,20,1.0,0.02244668911335578,0.043907793633369926,1.0
semantic,228,1,5,1.0,0.005611672278338945,0.011160714285714284,1.0
semantic,228,1,10,1.0,0.01122334455667789,0.022197558268590455,1.0
semantic,228,1,20,1.0,0.02244668911335578,0.043907793633369926,1.0
semantic,795,1,5,1.0,0.005611672278338945,0.011160714285714284,1.0
semantic,795,1,10,1.0,0.01122334455667789,0.022197558268590455,1.0
semantic,795,1,20,1.0,0.02244668911335578,0.043907793633369926,1.0
semantic,265,1,5,1.0,0.005611672278338945,0.011160714285714284,1.0
semantic,265,1,10,1.0,0.01122334455667789,0.022197558268590455,1.0
semantic,265,1,20,1.0,0.02244668911335578,0.043907793633369926,1.0
semantic,233,1,5,1.0,0.005611672278338945,0.011160714285714284,1.0
semantic,233,1,10,1.0,0.01122334455667789,0.022197558268590455,1.0
semantic,233,1,20,1.0,0.02244668911335578,0.043907793633369926,1.0
semantic,528,1,5,1.0,0.005611672278338945,0.011160714285714284,1.0
semantic,528,1,10,1.0,0.01122334455667789,0.022197558268590455,1.0
semantic,528,1,20,1.0,0.02244668911335578,0.043907793633369926,1.0
semantic,178,1,5,1.0,0.005611672278338945,0.011160714285714284,1.0
semantic,178,1,10,1.0,0.01122334455667789,0.022197558268590455,1.0
semantic,178,1,20,1.0,0.02244668911335578,0.043907793633369926,1.0
semantic,375,2,5,0.8,0.01020408163265306,0.020151133501259442,0.8687949224876582
semantic,375,2,10,0.7,0.017857142857142856,0.03482587064676616,0.7702043899253147
